s,gauge,wound,i-note,i-41,i-Hz,u-note,u-41,u-Hz,err
1,8,False,vG,23'',384.3,vG,23,384.3,0
2,9,False,vD#,10'',308.5,Eb,10,308.5,0
3,11,False,vB,37',243.4,B,38,247.6,1
4,15,False,^G,25',198.7,^G,25,198.7,0
5,19.5,False,^E,15',167.8,^D#,12,159.5,-3
6,26,True,C#,4',139.3,vC,40,128.1,-5
6,29,True,vC,40,128.1,vC,40,128.1,0
7,90,True,^G,25_,49.6,vA,30,54.0,5
8,73,True,A#,35_,58.8,^B#,2,67.3,8
9,59,True,vC#,3,68.5,^E,15,83.9,12
10,45,True,vF#,20,91.3,G#,28,104.5,8
11,33,True,B,38,123.8,C,0,130.2,3
12,24,True,vC#,3',137.0,vE,13,162.2,10
